Real,Predicho,Error_Absoluto
5.5,6.169050898694259,0.6690508986942589
6.3,6.51040986908998,0.21040986908997983
7.4,6.5369903645554785,0.8630096354445218
7.2,6.319226155844152,0.8807738441558479
5.6,6.34651610401948,0.7465161040194808
4.0,6.023860331417659,2.0238603314176586
5.0,6.098294001585295,1.0982940015852947
5.5,6.305459102805557,0.8054591028055569
7.0,7.948108405882696,0.9481084058826958
6.6,6.051999067594357,0.5480009324056425
6.8,6.078025273941574,0.7219747260584262
6.1,6.019875306798125,0.08012469320187421
6.5,6.398202304998813,0.10179769500118674
5.8,6.204177497328226,0.4041774973282264
6.8,6.508406251216323,0.2915937487836766
5.1,6.272284015636778,1.1722840156367784
4.9,6.09835717217498,1.1983571721749797
6.0,6.27322196142519,0.2732219614251896
4.3,6.0906422622536525,1.7906422622536526
7.4,6.217908108781636,1.1820918912183647
5.8,6.449860046090311,0.6498600460903114
7.5,6.129450119333061,1.370549880666939
8.1,6.375607560228508,1.724392439771492
5.8,6.134155826374327,0.33415582637432717
6.0,6.508521016917918,0.5085210169179177
6.5,6.0433469044433465,0.45665309555665345
6.3,6.331897558751471,0.0318975587514716
6.7,6.401338360354808,0.298661639645192
5.8,6.204498577470572,0.40449857747057205
6.9,6.713328557612913,0.18667144238708744
5.7,6.105678960114542,0.40567896011454163
4.7,6.028775436410525,1.3287754364105249
7.5,6.472564691892636,1.0274353081073642
3.6,6.044265722614826,2.444265722614826
7.5,6.270487718038531,1.229512281961469
7.2,6.185293444235905,1.0147065557640955
6.4,6.223213450266057,0.1767865497339436
6.3,6.405876568734161,0.1058765687341614
7.3,6.3215846897141255,0.9784153102858744
6.6,6.716880440616549,0.11688044061654956
4.9,6.248347880722218,1.3483478807222173
8.5,6.054403672864861,2.4455963271351386
6.1,6.363931419953518,0.26393141995351854
4.4,6.222812264848574,1.822812264848574
5.3,6.042736898377704,0.7427368983777045
6.3,6.292285599953765,0.007714400046235248
7.4,6.032288437628447,1.3677115623715537
6.0,6.271097988131684,0.2710979881316842
5.5,6.204986397709222,0.7049863977092219
6.5,6.396660520166453,0.10333947983354719
6.4,6.271248750128782,0.12875124987121822
7.5,6.743902734168582,0.7560972658314178
6.6,6.084074003513603,0.5159259964863967
6.1,6.431335047588224,0.3313350475882242
5.1,6.369759917903314,1.2697599179033148
7.3,6.363772033975733,0.9362279660242665
6.3,6.5274600619089185,0.22746006190891865
7.4,6.079227543573387,1.3207724564266137
5.7,6.184187010709387,0.48418701070938663
6.2,6.163714788108248,0.03628521189175249
8.5,7.238315767586313,1.2616842324136872
8.0,6.601717180902735,1.3982828190972647
6.6,6.204845958086199,0.3951540419138002
6.5,6.624599813271731,0.12459981327173075
7.7,6.230214586594489,1.4697854134055115
5.1,6.446260146023709,1.3462601460237096
7.0,6.096363810668521,0.903636189331479
5.9,6.040877050906966,0.14087705090696545
8.2,6.542624238797593,1.657375761202406
6.4,6.57711764792041,0.17711764792040974
6.9,6.223800618652069,0.6761993813479314
6.6,6.092718746539216,0.5072812534607838
8.2,6.978308200121578,1.2216917998784211
7.4,7.293897093590994,0.10610290640900644
5.8,6.044094959179896,0.244094959179896
5.2,6.550019602466257,1.350019602466257
3.9,6.131638846354347,2.2316388463543473
6.4,6.577411767520694,0.17741176752069343
5.1,6.262071253312401,1.1620712533124014
7.0,7.007767071900993,0.007767071900993017
4.8,6.342706245456306,1.5427062454563059
4.8,6.245404618666763,1.445404618666763
5.4,6.326189102945598,0.9261891029455978
5.4,6.149232164586543,0.7492321645865427
4.4,6.101506435395262,1.7015064353952614
3.4,6.206134994552938,2.8061349945529384
7.5,6.145700035751689,1.3542999642483107
7.2,6.134935276764319,1.0650647232356816
7.3,6.036217777790569,1.2637822222094313
4.5,6.389887266096235,1.8898872660962347
5.9,6.26535063378163,0.36535063378162924
3.7,6.117873129184797,2.4178731291847972
6.7,6.055191681228662,0.6448083187713385
7.0,6.0909698226936175,0.9090301773063825
6.7,6.312477503853829,0.38752249614617096
6.3,6.0936651182876815,0.20633488171231829
3.4,6.131729009976045,2.731729009976045
6.2,6.43322780784362,0.23322780784361985
5.4,6.16016013486969,0.7601601348696896
7.4,6.281343465220086,1.1186565347799142
5.0,6.273281735228103,1.2732817352281032
6.9,6.63109505682765,0.26890494317235003
7.4,6.062766910092575,1.337233089907425
3.9,6.566309703022721,2.6663097030227214
